user_id,age,gender,robotRealLife
0,24,Male,0
1,29,Male,1
2,22,Male,1
3,32,Male,0
4,21,Male,1
5,26,Male,1
6,25,Male,0
7,24,Male,1
8,35,Male,0
9,20,Female,1
10,34,Male,0
11,57,Female,0
12,22,Male,1
13,44,Female,0
14,37,Female,0
15,23,Female,1
16,36,Male,0
17,21,Male,0
18,29,Female,1
19,38,Female,0
20,23,Female,1
21,21,Female,0
22,24,Male,1
23,22,Female,0
24,71,Male,0
25,58,Male,1
26,24,Male,0
27,24,Male,1
28,24,Male,0
29,43,Male,1
30,18,Female,1
31,71,Female,1
32,18,Male,0
33,23,Male,1
34,24,Female,0
35,76,Male,0
36,22,Female,0
37,24,Female,0
38,22,Female,0
39,31,Female,0
40,24,Female,0
41,30,Female,0
42,31,Female,0
43,18,Male,0
44,20,Male,1
